2019100001	计算机学院	老师1	2019100001@bupt.com	2019100001	3	111001	111021	111022
2019100002	计算机学院	老师2	2019100002@bupt.com	2019100002	1	111002		
2019100003	计算机学院	老师3	2019100003@bupt.com	2019100003	1	111003		
2019100004	计算机学院	老师4	2019100004@bupt.com	2019100004	1	111004		
2019100005	计算机学院	老师5	2019100005@bupt.com	2019100005	1	111005		
2019100006	信息与通信工程学院	老师6	2019100006@bupt.com	2019100006	1	111006		
2019100007	信息与通信工程学院	老师7	2019100007@bupt.com	2019100007	1	111007		
2019100008	信息与通信工程学院	老师8	2019100008@bupt.com	2019100008	1	111008		
2019100009	电子工程学院	老师9	2019100009@bupt.com	2019100009	1	111009		
2019100010	电子工程学院	老师10	2019100010@bupt.com	2019100010	1	111010		
2019100011	电子工程学院	老师11	2019100011@bupt.com	2019100011	1	111011		
2019100012	国际学院	老师12	2019100012@bupt.com	2019100012	1	111012		
2019100013	国际学院	老师13	2019100013@bupt.com	2019100013	1	111013		
2019100014	国际学院	老师14	2019100014@bupt.com	2019100014	1	111014		
2019100015	人文学院	老师15	2019100015@bupt.com	2019100015	1	111015		
2019100016	理学院	老师16	2019100016@bupt.com	2019100016	1	111016		
2019100017	理学院	老师17	2019100017@bupt.com	2019100017	1	111017		
2019100018	理学院	老师18	2019100018@bupt.com	2019100018	1	111018		
2019100019	理学院	老师19	2019100019@bupt.com	2019100019	1	111019		
2019100020	理学院	老师20	2019100020@bupt.com	2019100020	1	111020		
